tileset,tiles,collision,treatment,cells,maps,example_map,x,y
TILESET_AERODACTYL_WORD_ROOM,10:11:10:11,7,generic_wall_review,22,1,RUINS_OF_ALPH_AERODACTYL_WORD_ROOM,0,1
TILESET_AERODACTYL_WORD_ROOM,128:129:144:145,0,classified_ground,3,1,RUINS_OF_ALPH_AERODACTYL_WORD_ROOM,12,4
TILESET_AERODACTYL_WORD_ROOM,132:133:148:149,0,classified_ground,1,1,RUINS_OF_ALPH_AERODACTYL_WORD_ROOM,5,6
TILESET_AERODACTYL_WORD_ROOM,134:135:150:151,0,classified_ground,1,1,RUINS_OF_ALPH_AERODACTYL_WORD_ROOM,14,8
TILESET_AERODACTYL_WORD_ROOM,136:137:152:153,0,classified_ground,6,1,RUINS_OF_ALPH_AERODACTYL_WORD_ROOM,8,4
TILESET_AERODACTYL_WORD_ROOM,142:143:158:159,0,classified_ground,2,1,RUINS_OF_ALPH_AERODACTYL_WORD_ROOM,3,4
TILESET_AERODACTYL_WORD_ROOM,160:161:176:177,0,classified_ground,1,1,RUINS_OF_ALPH_AERODACTYL_WORD_ROOM,13,8
TILESET_AERODACTYL_WORD_ROOM,164:165:180:181,0,classified_ground,1,1,RUINS_OF_ALPH_AERODACTYL_WORD_ROOM,12,6
TILESET_AERODACTYL_WORD_ROOM,166:167:182:183,0,classified_ground,2,1,RUINS_OF_ALPH_AERODACTYL_WORD_ROOM,13,4
TILESET_AERODACTYL_WORD_ROOM,168:169:184:185,0,classified_ground,1,1,RUINS_OF_ALPH_AERODACTYL_WORD_ROOM,14,6
TILESET_AERODACTYL_WORD_ROOM,170:171:186:187,0,classified_ground,1,1,RUINS_OF_ALPH_AERODACTYL_WORD_ROOM,16,6
TILESET_AERODACTYL_WORD_ROOM,172:173:188:189,0,classified_ground,3,1,RUINS_OF_ALPH_AERODACTYL_WORD_ROOM,11,6
TILESET_AERODACTYL_WORD_ROOM,174:175:190:191,0,classified_ground,1,1,RUINS_OF_ALPH_AERODACTYL_WORD_ROOM,10,6
TILESET_AERODACTYL_WORD_ROOM,194:195:210:211,0,classified_ground,1,1,RUINS_OF_ALPH_AERODACTYL_WORD_ROOM,3,6
TILESET_AERODACTYL_WORD_ROOM,196:197:212:213,0,classified_ground,4,1,RUINS_OF_ALPH_AERODACTYL_WORD_ROOM,5,4
TILESET_AERODACTYL_WORD_ROOM,198:199:214:215,0,classified_ground,5,1,RUINS_OF_ALPH_AERODACTYL_WORD_ROOM,2,4
TILESET_AERODACTYL_WORD_ROOM,1:1:1:1,7,generic_wall_review,20,1,RUINS_OF_ALPH_AERODACTYL_WORD_ROOM,0,13
TILESET_AERODACTYL_WORD_ROOM,200:201:216:217,0,classified_ground,3,1,RUINS_OF_ALPH_AERODACTYL_WORD_ROOM,4,4
TILESET_AERODACTYL_WORD_ROOM,204:205:220:221,0,classified_ground,1,1,RUINS_OF_ALPH_AERODACTYL_WORD_ROOM,7,4
TILESET_AERODACTYL_WORD_ROOM,2:3:3:2,0,classified_ground,160,1,RUINS_OF_ALPH_AERODACTYL_WORD_ROOM,1,1
TILESET_AERODACTYL_WORD_ROOM,6:6:22:23,7,generic_wall_review,1,1,RUINS_OF_ALPH_AERODACTYL_WORD_ROOM,1,0
TILESET_AERODACTYL_WORD_ROOM,6:6:26:27,7,generic_wall_review,5,1,RUINS_OF_ALPH_AERODACTYL_WORD_ROOM,2,0
TILESET_AERODACTYL_WORD_ROOM,6:6:28:29,7,generic_wall_review,5,1,RUINS_OF_ALPH_AERODACTYL_WORD_ROOM,3,0
TILESET_AERODACTYL_WORD_ROOM,6:6:32:33,7,generic_wall_review,2,1,RUINS_OF_ALPH_AERODACTYL_WORD_ROOM,4,0
TILESET_AERODACTYL_WORD_ROOM,6:6:33:64,7,generic_wall_review,4,1,RUINS_OF_ALPH_AERODACTYL_WORD_ROOM,3,12
TILESET_AERODACTYL_WORD_ROOM,6:6:34:35,7,generic_wall_review,2,1,RUINS_OF_ALPH_AERODACTYL_WORD_ROOM,5,0
TILESET_AERODACTYL_WORD_ROOM,6:6:34:55,7,generic_wall_review,4,1,RUINS_OF_ALPH_AERODACTYL_WORD_ROOM,5,12
TILESET_AERODACTYL_WORD_ROOM,6:6:35:56,7,generic_wall_review,1,1,RUINS_OF_ALPH_AERODACTYL_WORD_ROOM,18,12
TILESET_AERODACTYL_WORD_ROOM,6:6:54:22,7,generic_wall_review,4,1,RUINS_OF_ALPH_AERODACTYL_WORD_ROOM,2,12
TILESET_AERODACTYL_WORD_ROOM,6:6:54:28,7,generic_wall_review,4,1,RUINS_OF_ALPH_AERODACTYL_WORD_ROOM,4,12
TILESET_AERODACTYL_WORD_ROOM,6:6:56:57,7,generic_wall_review,1,1,RUINS_OF_ALPH_AERODACTYL_WORD_ROOM,18,0
TILESET_AERODACTYL_WORD_ROOM,6:6:64:65,7,generic_wall_review,1,1,RUINS_OF_ALPH_AERODACTYL_WORD_ROOM,8,0
TILESET_AERODACTYL_WORD_ROOM,6:6:66:67,7,generic_wall_review,1,1,RUINS_OF_ALPH_AERODACTYL_WORD_ROOM,9,0
TILESET_AERODACTYL_WORD_ROOM,6:6:67:32,7,generic_wall_review,1,1,RUINS_OF_ALPH_AERODACTYL_WORD_ROOM,1,12
TILESET_AERODACTYL_WORD_ROOM,84:86:88:89,96,classified_ground,1,1,RUINS_OF_ALPH_AERODACTYL_WORD_ROOM,17,11
TILESET_AERODACTYL_WORD_ROOM,8:9:10:11,7,generic_wall_review,4,1,RUINS_OF_ALPH_AERODACTYL_WORD_ROOM,0,0
TILESET_BATTLE_TOWER_INSIDE,10:10:26:26,7,generic_wall_review,3,1,BATTLE_TOWER_1F,5,6
TILESET_BATTLE_TOWER_INSIDE,12:13:28:29,7,modeled_prop,1,1,BATTLE_TOWER_1F,6,6
TILESET_BATTLE_TOWER_INSIDE,14:15:30:31,7,modeled_prop,6,1,BATTLE_TOWER_1F,2,8
TILESET_BATTLE_TOWER_INSIDE,17:17:17:17,0,classified_ground,83,2,BATTLE_TOWER_1F,0,2
TILESET_BATTLE_TOWER_INSIDE,17:17:17:70,0,modeled_prop,4,1,BATTLE_TOWER_1F,6,2
TILESET_BATTLE_TOWER_INSIDE,17:17:71:17,0,modeled_prop,4,1,BATTLE_TOWER_1F,7,2
TILESET_BATTLE_TOWER_INSIDE,17:17:75:76,7,generic_wall_review,11,1,BATTLE_TOWER_HALLWAY,1,3
TILESET_BATTLE_TOWER_INSIDE,17:17:89:90,7,generic_wall_review,11,1,BATTLE_TOWER_HALLWAY,0,3
TILESET_BATTLE_TOWER_INSIDE,17:59:58:45,7,generic_wall_review,1,1,BATTLE_TOWER_1F,15,5
TILESET_BATTLE_TOWER_INSIDE,17:86:17:17,0,classified_ground,4,1,BATTLE_TOWER_1F,6,3
TILESET_BATTLE_TOWER_INSIDE,18:19:1:1,113,classified_ground,1,1,BATTLE_TOWER_HALLWAY,11,1
TILESET_BATTLE_TOWER_INSIDE,1:17:1:17,0,classified_ground,4,1,BATTLE_TOWER_1F,5,2
TILESET_BATTLE_TOWER_INSIDE,1:1:17:17,0,classified_ground,37,2,BATTLE_TOWER_1F,6,1
TILESET_BATTLE_TOWER_INSIDE,1:1:17:17,0,modeled_prop,1,1,BATTLE_TOWER_1F,6,7
TILESET_BATTLE_TOWER_INSIDE,1:1:1:17,0,classified_ground,1,1,BATTLE_TOWER_1F,5,1
TILESET_BATTLE_TOWER_INSIDE,20:21:37:37,7,generic_wall_review,2,1,BATTLE_TOWER_BATTLE_ROOM,0,1
TILESET_BATTLE_TOWER_INSIDE,2:3:18:19,113,classified_ground,12,3,BATTLE_TOWER_1F,7,0
TILESET_BATTLE_TOWER_INSIDE,33:33:49:49,112,classified_ground,4,2,BATTLE_TOWER_1F,7,9
TILESET_BATTLE_TOWER_INSIDE,33:33:49:49,113,classified_ground,2,1,BATTLE_TOWER_ELEVATOR,1,3
TILESET_BATTLE_TOWER_INSIDE,34:34:34:34,0,classified_ground,2,1,BATTLE_TOWER_BATTLE_ROOM,2,3
TILESET_BATTLE_TOWER_INSIDE,34:34:34:35,0,classified_ground,1,1,BATTLE_TOWER_BATTLE_ROOM,3,3
TILESET_BATTLE_TOWER_INSIDE,34:34:36:34,0,classified_ground,1,1,BATTLE_TOWER_BATTLE_ROOM,4,3
TILESET_BATTLE_TOWER_INSIDE,34:48:34:34,0,classified_ground,1,1,BATTLE_TOWER_BATTLE_ROOM,4,2
TILESET_BATTLE_TOWER_INSIDE,37:37:48:48,0,classified_ground,6,1,BATTLE_TOWER_BATTLE_ROOM,1,1
TILESET_BATTLE_TOWER_INSIDE,40:41:56:57,7,generic_wall_review,1,1,BATTLE_TOWER_1F,11,5
TILESET_BATTLE_TOWER_INSIDE,42:43:26:27,147,generic_wall_review,1,1,BATTLE_TOWER_1F,11,6
TILESET_BATTLE_TOWER_INSIDE,44:45:60:61,7,generic_wall_review,4,1,BATTLE_TOWER_1F,15,6
TILESET_BATTLE_TOWER_INSIDE,46:47:62:63,7,generic_wall_review,4,1,BATTLE_TOWER_1F,0,6
TILESET_BATTLE_TOWER_INSIDE,48:34:34:34,0,classified_ground,1,1,BATTLE_TOWER_BATTLE_ROOM,3,2
TILESET_BATTLE_TOWER_INSIDE,48:48:34:48,0,classified_ground,1,1,BATTLE_TOWER_BATTLE_ROOM,5,2
TILESET_BATTLE_TOWER_INSIDE,48:48:48:34,0,classified_ground,1,1,BATTLE_TOWER_BATTLE_ROOM,2,2
TILESET_BATTLE_TOWER_INSIDE,48:48:48:48,0,classified_ground,28,2,BATTLE_TOWER_BATTLE_ROOM,0,2
TILESET_BATTLE_TOWER_INSIDE,48:48:48:70,0,classified_ground,2,1,BATTLE_TOWER_BATTLE_ROOM,6,2
TILESET_BATTLE_TOWER_INSIDE,48:48:71:48,0,classified_ground,2,1,BATTLE_TOWER_BATTLE_ROOM,7,2
TILESET_BATTLE_TOWER_INSIDE,48:50:48:48,0,classified_ground,1,1,BATTLE_TOWER_BATTLE_ROOM,2,5
TILESET_BATTLE_TOWER_INSIDE,48:86:48:48,0,classified_ground,2,1,BATTLE_TOWER_BATTLE_ROOM,6,3
TILESET_BATTLE_TOWER_INSIDE,4:5:20:21,7,modeled_prop,5,1,BATTLE_TOWER_BATTLE_ROOM,1,0
TILESET_BATTLE_TOWER_INSIDE,50:48:48:48,0,classified_ground,1,1,BATTLE_TOWER_BATTLE_ROOM,5,5
TILESET_BATTLE_TOWER_INSIDE,50:50:48:50,0,classified_ground,1,1,BATTLE_TOWER_BATTLE_ROOM,3,5
TILESET_BATTLE_TOWER_INSIDE,50:50:50:48,0,classified_ground,1,1,BATTLE_TOWER_BATTLE_ROOM,4,5
TILESET_BATTLE_TOWER_INSIDE,50:50:50:50,0,classified_ground,2,1,BATTLE_TOWER_BATTLE_ROOM,2,4
TILESET_BATTLE_TOWER_INSIDE,50:51:50:50,0,classified_ground,1,1,BATTLE_TOWER_BATTLE_ROOM,3,4
TILESET_BATTLE_TOWER_INSIDE,52:50:50:50,0,classified_ground,1,1,BATTLE_TOWER_BATTLE_ROOM,4,4
TILESET_BATTLE_TOWER_INSIDE,53:11:53:11,7,generic_wall_review,9,1,BATTLE_TOWER_1F,4,1
TILESET_BATTLE_TOWER_INSIDE,53:129:22:26,7,generic_wall_review,1,1,BATTLE_TOWER_1F,4,6
TILESET_BATTLE_TOWER_INSIDE,64:17:46:65,7,generic_wall_review,1,1,BATTLE_TOWER_1F,0,5
TILESET_BATTLE_TOWER_INSIDE,67:69:84:85,7,generic_wall_review,1,1,BATTLE_TOWER_HALLWAY,10,0
TILESET_BATTLE_TOWER_INSIDE,68:69:72:73,7,generic_wall_review,2,1,BATTLE_TOWER_1F,2,0
TILESET_BATTLE_TOWER_INSIDE,68:69:74:85,7,generic_wall_review,2,1,BATTLE_TOWER_1F,3,0
TILESET_BATTLE_TOWER_INSIDE,68:69:84:85,7,generic_wall_review,4,1,BATTLE_TOWER_1F,0,0
TILESET_BATTLE_TOWER_INSIDE,69:69:2:3,0,classified_ground,1,1,BATTLE_TOWER_HALLWAY,11,0
TILESET_BATTLE_TOWER_INSIDE,6:10:22:26,7,generic_wall_review,1,1,BATTLE_TOWER_1F,8,6
TILESET_BATTLE_TOWER_INSIDE,7:23:4:5,7,generic_wall_review,2,1,BATTLE_TOWER_BATTLE_ROOM,0,0
TILESET_BATTLE_TOWER_INSIDE,80:81:1:1,0,classified_ground,9,2,BATTLE_TOWER_1F,0,1
TILESET_BATTLE_TOWER_INSIDE,84:85:79:95,7,generic_wall_review,2,1,BATTLE_TOWER_1F,4,0
TILESET_BATTLE_TOWER_INSIDE,84:85:80:81,7,generic_wall_review,15,2,BATTLE_TOWER_1F,5,0
TILESET_BATTLE_TOWER_INSIDE,87:17:17:17,0,classified_ground,4,1,BATTLE_TOWER_1F,7,3
TILESET_BATTLE_TOWER_INSIDE,87:48:48:48,0,classified_ground,2,1,BATTLE_TOWER_BATTLE_ROOM,7,3
TILESET_BATTLE_TOWER_INSIDE,88:88:55:55,7,generic_wall_review,2,1,BATTLE_TOWER_BATTLE_ROOM,0,7
TILESET_BATTLE_TOWER_INSIDE,8:9:24:25,7,generic_wall_review,1,1,BATTLE_TOWER_1F,6,5
TILESET_BATTLE_TOWER_INSIDE,91:91:77:93,7,generic_wall_review,1,1,BATTLE_TOWER_ELEVATOR,3,0
TILESET_BATTLE_TOWER_INSIDE,91:91:91:91,7,generic_wall_review,1,1,BATTLE_TOWER_ELEVATOR,0,0
TILESET_BATTLE_TOWER_INSIDE,91:91:92:92,7,generic_wall_review,2,1,BATTLE_TOWER_ELEVATOR,1,0
TILESET_BATTLE_TOWER_INSIDE,92:78:48:48,0,classified_ground,1,1,BATTLE_TOWER_ELEVATOR,0,1
TILESET_BATTLE_TOWER_INSIDE,94:92:48:48,0,classified_ground,1,1,BATTLE_TOWER_ELEVATOR,3,1
TILESET_BATTLE_TOWER_OUTSIDE,0:0:0:0,0,classified_ground,4,1,BATTLE_TOWER_OUTSIDE,7,20
TILESET_BATTLE_TOWER_OUTSIDE,0:0:6:0,0,classified_ground,1,1,BATTLE_TOWER_OUTSIDE,9,20
TILESET_BATTLE_TOWER_OUTSIDE,0:161:177:178,7,generic_wall_review,1,1,BATTLE_TOWER_OUTSIDE,7,8
TILESET_BATTLE_TOWER_OUTSIDE,128:128:187:128,7,generic_wall_review,1,1,BATTLE_TOWER_OUTSIDE,4,8
TILESET_BATTLE_TOWER_OUTSIDE,129:141:129:141,7,generic_wall_review,1,1,BATTLE_TOWER_OUTSIDE,5,8
TILESET_BATTLE_TOWER_OUTSIDE,129:141:144:145,7,generic_wall_review,6,1,BATTLE_TOWER_OUTSIDE,5,2
TILESET_BATTLE_TOWER_OUTSIDE,130:131:146:147,7,generic_wall_review,6,1,BATTLE_TOWER_OUTSIDE,7,2
TILESET_BATTLE_TOWER_OUTSIDE,132:133:148:149,7,generic_wall_review,8,1,BATTLE_TOWER_OUTSIDE,8,0
TILESET_BATTLE_TOWER_OUTSIDE,134:132:150:148,7,generic_wall_review,8,1,BATTLE_TOWER_OUTSIDE,9,0
TILESET_BATTLE_TOWER_OUTSIDE,139:129:156:144,7,generic_wall_review,6,1,BATTLE_TOWER_OUTSIDE,10,2
TILESET_BATTLE_TOWER_OUTSIDE,139:197:156:202,7,generic_wall_review,1,1,BATTLE_TOWER_OUTSIDE,10,0
TILESET_BATTLE_TOWER_OUTSIDE,139:207:156:205,7,generic_wall_review,1,1,BATTLE_TOWER_OUTSIDE,10,1
TILESET_BATTLE_TOWER_OUTSIDE,13:14:10:11,7,generic_wall_review,1,1,BATTLE_TOWER_OUTSIDE,7,23
TILESET_BATTLE_TOWER_OUTSIDE,140:140:140:191,7,generic_wall_review,1,1,BATTLE_TOWER_OUTSIDE,13,8
TILESET_BATTLE_TOWER_OUTSIDE,140:157:157:140,7,generic_wall_review,6,1,BATTLE_TOWER_OUTSIDE,13,2
TILESET_BATTLE_TOWER_OUTSIDE,141:130:145:146,7,generic_wall_review,6,1,BATTLE_TOWER_OUTSIDE,12,2
TILESET_BATTLE_TOWER_OUTSIDE,141:141:145:145,7,generic_wall_review,12,1,BATTLE_TOWER_OUTSIDE,6,2
TILESET_BATTLE_TOWER_OUTSIDE,141:143:142:143,7,generic_wall_review,1,1,BATTLE_TOWER_OUTSIDE,12,8
TILESET_BATTLE_TOWER_OUTSIDE,14:14:11:11,7,generic_wall_review,2,1,BATTLE_TOWER_OUTSIDE,8,23
TILESET_BATTLE_TOWER_OUTSIDE,14:15:11:12,7,generic_wall_review,1,1,BATTLE_TOWER_OUTSIDE,10,23
TILESET_BATTLE_TOWER_OUTSIDE,158:128:128:158,7,generic_wall_review,6,1,BATTLE_TOWER_OUTSIDE,4,2
TILESET_BATTLE_TOWER_OUTSIDE,158:174:128:158,7,generic_wall_review,1,1,BATTLE_TOWER_OUTSIDE,4,1
TILESET_BATTLE_TOWER_OUTSIDE,162:163:178:178,7,generic_wall_review,1,1,BATTLE_TOWER_OUTSIDE,8,8
TILESET_BATTLE_TOWER_OUTSIDE,164:162:178:178,7,generic_wall_review,1,1,BATTLE_TOWER_OUTSIDE,9,8
TILESET_BATTLE_TOWER_OUTSIDE,165:0:178:179,7,generic_wall_review,1,1,BATTLE_TOWER_OUTSIDE,10,8
TILESET_BATTLE_TOWER_OUTSIDE,166:168:180:170,7,generic_wall_review,1,1,BATTLE_TOWER_OUTSIDE,11,8
TILESET_BATTLE_TOWER_OUTSIDE,167:160:169:176,7,generic_wall_review,1,1,BATTLE_TOWER_OUTSIDE,6,8
