game,map,complete_drawing_matches,visual_signoff
FireRed,FR_BIRTH_ISLAND_EXTERIOR,0,pending
FireRed,FR_CELADON_CITY,14,pending
FireRed,FR_CERULEAN_CITY,10,pending
FireRed,FR_CINNABAR_ISLAND,3,pending
FireRed,FR_FIVE_ISLAND,2,pending
FireRed,FR_FIVE_ISLAND_MEADOW,0,pending
FireRed,FR_FIVE_ISLAND_MEMORIAL_PILLAR,0,pending
FireRed,FR_FIVE_ISLAND_RESORT_GORGEOUS,0,pending
FireRed,FR_FIVE_ISLAND_WATER_LABYRINTH,0,pending
FireRed,FR_FOUR_ISLAND,5,pending
FireRed,FR_FUCHSIA_CITY,6,pending
FireRed,FR_INDIGO_PLATEAU_EXTERIOR,0,pending
FireRed,FR_LAVENDER_TOWN,5,pending
FireRed,FR_MT_EMBER_EXTERIOR,0,pending
FireRed,FR_NAVEL_ROCK_EXTERIOR,0,pending
FireRed,FR_PALLET_TOWN,0,pending
FireRed,FR_PEWTER_CITY,5,pending
FireRed,FR_PROTOTYPE_SEVII_ISLE_6,0,pending
FireRed,FR_PROTOTYPE_SEVII_ISLE_7,0,pending
FireRed,FR_PROTOTYPE_SEVII_ISLE_8,0,pending
FireRed,FR_PROTOTYPE_SEVII_ISLE_9,0,pending
FireRed,FR_ROUTE_1,0,pending
FireRed,FR_ROUTE_10,1,pending
FireRed,FR_ROUTE_11,0,pending
FireRed,FR_ROUTE_12,0,pending
FireRed,FR_ROUTE_13,0,pending
FireRed,FR_ROUTE_14,0,pending
FireRed,FR_ROUTE_15,0,pending
FireRed,FR_ROUTE_16,0,pending
FireRed,FR_ROUTE_17,0,pending
FireRed,FR_ROUTE_18,0,pending
FireRed,FR_ROUTE_19,0,pending
FireRed,FR_ROUTE_2,1,pending
FireRed,FR_ROUTE_20,0,pending
FireRed,FR_ROUTE_21_NORTH,0,pending
FireRed,FR_ROUTE_21_SOUTH,0,pending
FireRed,FR_ROUTE_22,0,pending
FireRed,FR_ROUTE_23,0,pending
FireRed,FR_ROUTE_24,0,pending
FireRed,FR_ROUTE_25,0,pending
FireRed,FR_ROUTE_3,0,pending
FireRed,FR_ROUTE_4,1,pending
FireRed,FR_ROUTE_5,1,pending
FireRed,FR_ROUTE_6,0,pending
FireRed,FR_ROUTE_7,0,pending
FireRed,FR_ROUTE_8,0,pending
FireRed,FR_ROUTE_9,0,pending
FireRed,FR_SAFARI_ZONE_CENTER,0,pending
FireRed,FR_SAFARI_ZONE_EAST,0,pending
FireRed,FR_SAFARI_ZONE_NORTH,0,pending
FireRed,FR_SAFARI_ZONE_WEST,0,pending
FireRed,FR_SAFFRON_CITY,12,pending
FireRed,FR_SAFFRON_CITY_CONNECTION,12,pending
FireRed,FR_SEVEN_ISLAND,2,pending
FireRed,FR_SEVEN_ISLAND_SEVAULT_CANYON,0,pending
FireRed,FR_SEVEN_ISLAND_SEVAULT_CANYON_ENTRANCE,0,pending
FireRed,FR_SEVEN_ISLAND_TANOBY_RUINS,0,pending
FireRed,FR_SEVEN_ISLAND_TRAINER_TOWER,0,pending
FireRed,FR_SIX_ISLAND,3,pending
FireRed,FR_SIX_ISLAND_GREEN_PATH,0,pending
FireRed,FR_SIX_ISLAND_OUTCAST_ISLAND,0,pending
FireRed,FR_SIX_ISLAND_PATTERN_BUSH,0,pending
FireRed,FR_SIX_ISLAND_RUIN_VALLEY,0,pending
FireRed,FR_SIX_ISLAND_WATER_PATH,0,pending
FireRed,FR_THREE_ISLAND,5,pending
FireRed,FR_THREE_ISLAND_BERRY_FOREST,0,pending
FireRed,FR_THREE_ISLAND_BOND_BRIDGE,0,pending
FireRed,FR_THREE_ISLAND_PORT,0,pending
FireRed,FR_TWO_ISLAND,1,pending
FireRed,FR_TWO_ISLAND_CAPE_BRINK,0,pending
FireRed,FR_VERMILION_CITY,6,pending
FireRed,FR_VIRIDIAN_CITY,5,pending
FireRed,FR_VIRIDIAN_FOREST,0,pending
FireRed,SEVII_ONE_ISLAND,3,pending
FireRed,SEVII_ONE_ISLAND_KINDLE_ROAD,0,pending
FireRed,SEVII_ONE_ISLAND_TREASURE_BEACH,0,pending
Crystal,AZALEA_TOWN,5,pending
Crystal,BATTLE_TOWER_OUTSIDE,0,pending
Crystal,BLACKTHORN_CITY,6,pending
Crystal,CELADON_CITY,18,pending
Crystal,CERULEAN_CITY,9,pending
Crystal,CHERRYGROVE_CITY,5,pending
Crystal,CIANWOOD_CITY,7,pending
Crystal,CINNABAR_ISLAND,1,pending
Crystal,ECRUTEAK_CITY,12,pending
Crystal,FUCHSIA_CITY,8,pending
Crystal,GOLDENROD_CITY,59,pending
Crystal,LAKE_OF_RAGE,2,pending
Crystal,LAVENDER_TOWN,6,pending
Crystal,MAHOGANY_TOWN,4,pending
Crystal,MOUNT_MOON_SQUARE,1,pending
Crystal,NATIONAL_PARK,0,pending
Crystal,NATIONAL_PARK_BUG_CONTEST,0,pending
Crystal,NEW_BARK_TOWN,4,pending
Crystal,OLIVINE_CITY,8,pending
Crystal,OLIVINE_PORT,0,pending
Crystal,PALLET_TOWN,3,pending
Crystal,PEWTER_CITY,5,pending
Crystal,ROUTE_1,0,pending
Crystal,ROUTE_10_NORTH,1,pending
Crystal,ROUTE_10_SOUTH,0,pending
Crystal,ROUTE_11,0,pending
Crystal,ROUTE_12,1,pending
Crystal,ROUTE_13,0,pending
Crystal,ROUTE_14,0,pending
Crystal,ROUTE_15,0,pending
Crystal,ROUTE_16,2,pending
Crystal,ROUTE_17,0,pending
Crystal,ROUTE_18,0,pending
Crystal,ROUTE_19,1,pending
Crystal,ROUTE_2,2,pending
Crystal,ROUTE_20,0,pending
Crystal,ROUTE_21,0,pending
Crystal,ROUTE_22,1,pending
Crystal,ROUTE_23,0,pending
Crystal,ROUTE_24,0,pending
Crystal,ROUTE_25,1,pending
Crystal,ROUTE_26,3,pending
Crystal,ROUTE_27,1,pending
Crystal,ROUTE_28,2,pending
Crystal,ROUTE_29,0,pending
Crystal,ROUTE_3,0,pending
Crystal,ROUTE_30,2,pending
Crystal,ROUTE_31,0,pending
Crystal,ROUTE_32,1,pending
Crystal,ROUTE_33,0,pending
Crystal,ROUTE_34,1,pending
Crystal,ROUTE_35,0,pending
Crystal,ROUTE_36,0,pending
Crystal,ROUTE_37,0,pending
Crystal,ROUTE_38,0,pending
Crystal,ROUTE_39,2,pending
Crystal,ROUTE_4,0,pending
Crystal,ROUTE_40,1,pending
Crystal,ROUTE_41,0,pending
Crystal,ROUTE_42,0,pending
Crystal,ROUTE_43,1,pending
Crystal,ROUTE_44,0,pending
Crystal,ROUTE_45,0,pending
Crystal,ROUTE_46,0,pending
Crystal,ROUTE_5,2,pending
Crystal,ROUTE_6,1,pending
Crystal,ROUTE_7,2,pending
Crystal,ROUTE_8,1,pending
Crystal,ROUTE_9,0,pending
Crystal,RUINS_OF_ALPH_OUTSIDE,1,pending
Crystal,SAFFRON_CITY,29,pending
Crystal,SILVER_CAVE_OUTSIDE,1,pending
Crystal,TIN_TOWER_ROOF,0,pending
Crystal,VERMILION_CITY,9,pending
Crystal,VERMILION_PORT,0,pending
Crystal,VIOLET_CITY,7,pending
Crystal,VIRIDIAN_CITY,5,pending
