pair,metatile,kind,treatment,cells,maps,example_map,x,y
building__rom_082d4bcc,000,flat,native_fallback,252,12,FR_CERULEAN_CITY_MART,7,9
building__rom_082d4bcc,01A,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,3,8
building__rom_082d4bcc,01B,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,4,8
building__rom_082d4bcc,01C,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,5,8
building__rom_082d4bcc,281,flat,native_fallback,132,12,FR_CERULEAN_CITY_MART,5,3
building__rom_082d4bcc,282,flat,native_fallback,24,12,FR_CERULEAN_CITY_MART,0,5
building__rom_082d4bcc,283,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,4,2
building__rom_082d4bcc,284,flat,native_fallback,72,12,FR_CERULEAN_CITY_MART,5,2
building__rom_082d4bcc,285,flat,native_fallback,24,12,FR_CERULEAN_CITY_MART,3,0
building__rom_082d4bcc,286,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,2,0
building__rom_082d4bcc,287,flat,native_fallback,36,12,FR_CERULEAN_CITY_MART,6,0
building__rom_082d4bcc,28A,flat,native_fallback,24,12,FR_CERULEAN_CITY_MART,1,7
building__rom_082d4bcc,28B,flat,native_fallback,72,12,FR_CERULEAN_CITY_MART,3,6
building__rom_082d4bcc,28C,flat,native_fallback,24,12,FR_CERULEAN_CITY_MART,4,5
building__rom_082d4bcc,28E,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,2,1
building__rom_082d4bcc,28F,flat,native_fallback,36,12,FR_CERULEAN_CITY_MART,5,1
building__rom_082d4bcc,290,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,0,0
building__rom_082d4bcc,291,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,10,0
building__rom_082d4bcc,292,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,7,0
building__rom_082d4bcc,293,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,8,0
building__rom_082d4bcc,294,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,9,0
building__rom_082d4bcc,295,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,3,1
building__rom_082d4bcc,296,flat,native_fallback,24,12,FR_CERULEAN_CITY_MART,7,3
building__rom_082d4bcc,297,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,8,3
building__rom_082d4bcc,298,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,0,1
building__rom_082d4bcc,299,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,10,1
building__rom_082d4bcc,29A,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,7,1
building__rom_082d4bcc,29B,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,8,1
building__rom_082d4bcc,29C,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,9,1
building__rom_082d4bcc,29D,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,3,2
building__rom_082d4bcc,29E,flat,native_fallback,24,12,FR_CERULEAN_CITY_MART,10,4
building__rom_082d4bcc,29F,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,8,4
building__rom_082d4bcc,2A0,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,0,2
building__rom_082d4bcc,2A1,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,10,2
building__rom_082d4bcc,2A2,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,7,2
building__rom_082d4bcc,2A3,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,8,2
building__rom_082d4bcc,2A4,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,9,2
building__rom_082d4bcc,2A5,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,3,3
building__rom_082d4bcc,2A6,flat,native_fallback,24,12,FR_CERULEAN_CITY_MART,10,5
building__rom_082d4bcc,2A7,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,8,5
building__rom_082d4bcc,2A8,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,0,3
building__rom_082d4bcc,2A9,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,1,3
building__rom_082d4bcc,2AA,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,2,3
building__rom_082d4bcc,2AD,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,3,4
building__rom_082d4bcc,2AE,flat,native_fallback,24,12,FR_CERULEAN_CITY_MART,10,6
building__rom_082d4bcc,2AF,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,8,6
building__rom_082d4bcc,2B0,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,0,4
building__rom_082d4bcc,2B1,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,1,4
building__rom_082d4bcc,2B2,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,2,4
building__rom_082d4bcc,2B5,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,1,1
building__rom_082d4bcc,2B6,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,1,2
building__rom_082d4bcc,2B7,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,1,5
building__rom_082d4bcc,2B8,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,3,7
building__rom_082d4bcc,2B9,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,4,7
building__rom_082d4bcc,2BA,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,5,7
building__rom_082d4bcc,2BC,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,2,5
building__rom_082d4bcc,2BD,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,0,7
building__rom_082d4bcc,2BE,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,10,7
building__rom_082d4bcc,2C1,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,1,6
building__rom_082d4bcc,2C2,flat,native_fallback,12,12,FR_CERULEAN_CITY_MART,2,6
building__rom_082d4bcc,008,flat,native_fallback,96,12,FR_CERULEAN_CITY_MART,7,8
building__rom_082d4c2c,000,flat,native_fallback,84,4,FR_FIVE_ISLAND_RESORT_GORGEOUS_HOUSE,7,9
building__rom_082d4c2c,09B,flat,native_fallback,1,1,FR_FUCHSIA_CITY_HOUSE2,6,0
building__rom_082d4c2c,0A3,flat,native_fallback,1,1,FR_FUCHSIA_CITY_HOUSE2,6,1
building__rom_082d4c2c,0A8,roomWall,native_fallback,4,1,FR_FUCHSIA_CITY_WARDENS_HOUSE,6,0
building__rom_082d4c2c,0AC,flat,native_fallback,1,1,FR_FUCHSIA_CITY_HOUSE2,0,0
building__rom_082d4c2c,0AD,flat,native_fallback,1,1,FR_FUCHSIA_CITY_HOUSE2,1,0
building__rom_082d4c2c,0AE,flat,native_fallback,1,1,FR_FUCHSIA_CITY_WARDENS_HOUSE,4,0
building__rom_082d4c2c,0B0,flat,native_fallback,4,1,FR_FUCHSIA_CITY_WARDENS_HOUSE,6,1
building__rom_082d4c2c,0B4,roomWall,native_fallback,1,1,FR_FUCHSIA_CITY_HOUSE2,0,1
building__rom_082d4c2c,0B5,roomWall,native_fallback,1,1,FR_FUCHSIA_CITY_HOUSE2,1,1
